Date,Days between refuel,Odometer,,Distance (K),Litres,Cost ($),Price ($/L)
2017-01-20,,160183,,553.4,40.19,64.67,1.609
2017-01-28,8.00,160594,,411.6,33.92,53.56,1.579
2017-01-30,2.00,161054,-0.1,459.9,34.34,54.22,1.579
2017-02-17,N/A,161999,-399.1,545.9,41.17,64.60,1.569
2017-02-24,7.00,162511,0.7,512.7,41.41,64.97,1.569
2017-03-03,7.00,163017,-0.6,505.4,39.72,54.77,1.379
2017-03-13,10.00,163513,-0.3,495.7,42.86,58.25,1.359
2017-03-20,7.00,164075,0,562,41.21,56.00,1.359
2017-03-25,5.00,164650,-0.3,574.7,41.54,61.44,1.479
2017-03-31,6.00,165206,-0.3,555.7,40.39,51.02,1.263
2017-04-05,5.00,165727,0.8,521.8,40.79,59.09,1.449
2017-04-12,7.00,166274,-0.8,546.2,42.49,55.19,1.299
2017-04-13,1.00,166553,0.6,279.6,20.17,27.61,1.369
2017-04-16,3.00,166920,-0.7,366.3,25.93,38.35,1.479
2017-04-19,3.00,167440,-0.2,519.8,37.31,51.08,1.369
2017-04-23,4.00,168012,0.6,572.6,41.95,57.43,1.369
2017-05-05,N/A,169139,-585.5,541.5,40.65,63.37,1.559
2017-05-11,6.00,169689,-0.1,549.9,41.2,57.64,1.399
2017-05-17,6.00,170236,-0.3,546.7,41.01,55.32,1.349
2017-05-23,6.00,170782,0.1,546.1,40.74,53.74,1.319
2017-05-29,6.00,171331,-0.1,548.9,41.3,61.50,1.489
2017-06-02,4.00,171864,0,533,40.28,59.98,1.489
2017-06-07,5.00,172333,-0.1,468.9,36.57,48.60,1.329
2017-06-13,6.00,172887,-0.1,553.9,39.94,53.08,1.329
2017-06-19,6.00,173393,0.1,506.1,39.69,52.75,1.329
2017-06-26,7.00,173942,0,549,43.08,55.96,1.299
2017-07-04,8.00,174503,-0.4,560.6,41.85,56.46,1.349
2017-07-11,7.00,174994,0.8,491.8,38.51,51.95,1.349
2017-07-15,4.00,175569,-0.1,574.9,41.65,48.94,1.175
2017-07-23,8.00,176097,-0.5,527.5,42.9,56.58,1.319
2017-07-29,6.00,176649,-0.4,551.6,41.68,55.39,1.329
2017-08-03,5.00,177217,0.7,568.7,41.561,50.45,1.214
2017-08-09,6.00,177755,-0.2,537.8,40.42,53.72,1.329
2017-09-21,N/A,178226,-471,,39.9,55.82,1.399
2017-09-23,2.00,178446,0,220,15.5,21.68,1.399
2017-09-29,6.00,179023,-0.3,576.7,40.07,52.78,1.317
2017-10-02,3.00,179460,0.3,437.3,35.82,50.82,1.419
2017-10-05,3.00,180022,-0.2,561.8,40.65,56.86,1.399
2017-10-11,6.00,180436,-0.2,413.8,33.14,46.36,1.399
2017-10-19,8.00,180964,0,528,43.01,58.02,1.349
2017-10-29,10.00,181481,-0.4,516.6,41.1,66.13,1.609
2017-11-07,9.00,181949,0.2,468.2,37.09,51.82,1.397
2017-11-20,13.00,182437,-0.3,487.7,40.53,62.38,1.539
2017-11-28,8.00,182938,0.1,501.1,40.51,62.34,1.539
2017-12-04,6.00,183426,-0.4,487.6,40.59,64.90,1.599
2017-12-11,7.00,183937,0.6,511.6,39.31,55.78,1.419
2017-12-19,8.00,184450,-0.5,512.5,39.95,62.93,1.575
2018-01-27,39.00,184898,-0.1,447.9,39.34,50.71,1.289
2018-02-19,23.00,185269,0,371,41.37,62.01,1.499
2018-03-03,12.00,185678,0.4,409.4,40.37,58.50,1.449
